tipo;descripcion;expediente;anio_expediente;domicilio;barrio;comuna;unidad_ejecutora;fecha_inicio;area;obra;estado_obra;contratista;foto_nombre;foto_descripcion
ARQ;Puesta en valor del sector de la Plaza General San Martín, continuando las obras recientemente realizadas en el fragmento desde Manuel Belgrano hasta Florida. Asimismo, se peatonalizará parcialmente la calle Arenales sólo en la cuadra que enfrenta al edificio de la Cancillería, igualando niveles de acera y calzada. Se realizarán tareas generales tales como cambio de solado, rediseño del alumbrado, retiro de elementos agregados que no se integran a su condición actual, mejora de condiciones de algunos elementos tradicionales y realización de una nueva parquización adecuada a su soleamiento. ;52722;2007;Área delimitada por las calles Arenales, Basavilbaso, Esmeralda y Av. Santa Fe de la Ciudad de Buenos Aires. ;Retiro;1;312;2008-09-22 00:00:00;Arquitectura;Entorno Cancillería;Finalizada recepción definitiva;MIAVASA SA ;;
ARQ;Unificación de nivel de calzada con el de vereda. Recuperación de las veredas cambiando el solado de las mismas por losetas graniticas 40x40 - 64 panes, color gris claro. Las veredas se ensanchan en sectores de esquina para generar darsenas de estacionamiento. El sector de calzada se materializará con solado intertrabado, colocación de bolardos para delimitar sector de veredas y cestos papeleros. Se refuerza la iluminación peatonal con farolas ornamentales. Incluye nueva red hidraúlica, con rejillas de evacuación. Se ejecutarán rampas vehiculares de hormigon. Se completará la arborización existente.   ;52716;2007;Baez entre Boulevard Chenaut y Clay;Belgrano;13;312;2008-12-30 00:00:00;Arquitectura;Entorno Las Cañitas;Finalizada recepción definitiva;MANTELECTRIC ICISA;;
ARQ;El objetivo primordial de la intervención es cualificar el espacio público de la ciudad recuperando el comercio minorista y las actividades vinculadas rehabilitando funciones de las calles comerciales, imprimiendo una nueva dinámica a la economía urbana al consolidar  las identidades barriales a través de sus sitios de interés Se apunta a recuperar las veredas como lugares de transito peatonal y encuentro  con una renovada calidad espacial La intervención contempla unificar en los pasajes el nivel de calzada con el de vereda La unificación de las aceras se encuentra fundada en el objetivo de construir la revalorización  del espacio urbano de un sector residencial que integra en su tejido un hito del barrio como lo es el Mercado del Progreso ;52828;2007;Av. Rivadavia entre Cachimayo y Del Barco Centenera, Del Barco Centenera entre Av. Rivadavia y Av. J. B. Alberdi, Pasajes Burgos y Coronda y Av. J. B. Alberdi entre Coronda y Del Barco Centenera.;Caballito;6;312;2008-09-03 00:00:00;Arquitectura;Entorno Mercado del progreso;Finalizada recepción definitiva;INSTALECTRO SA;;
ARQ;Los solados de las veredas serán de loseta granítica  de 40 x 40 -64 panes-  . El sector de calzada en las calles que rodean la nueva plazoleta se materializará con solado intertrabado entre solias de hormigón en las cuales se colocarán bolardos para dar seguridad y demarcar el área de vereda, las rampas vehiculares serán de hormigón. Se reforzara la iluminación peatonal con farolas ornamentales, artefactos nuevos completarán la iluminación de las recovas del Edificio Histórico y la iluminación del escenario será resuelta a través de columnas con reflectores específicos. Se colocarán rejillas de evacuación de agua donde sea necesario, las cuales drenarán en la nueva red contemplada. La arborización existente será completada.;34933;2008;Avenida Lisandro de la Torre, entre Tandil y Garzón, Avda. de los Corrales-boulevard-entre Avda. Lisandro de la Torre y Timoteo Gordillo y sector Monumento al Resero en la intersección de Avda. Lisandro de la Torre y Avda. de los Corrales;Mataderos;9;312;2009-05-26 00:00:00;Arquitectura;Entorno Monumento al Resero;Finalizada recepción definitiva;GRAPE Constructora SA;;
ARQ;Adecuación y completamiento de la obra ejecutada en el área por la Dir Gral de Obras Públicas, a través del Programa PRYMA, Rehabilitación y Mantenimiento de Aceras, mediante el cual no pudo concretar el Proyecto tal cual fue concebido por la Dirección General de Proyectos Urbanos y Arquitectura, se genera de esta manera una 2da Etapa de Proyecto.;52814;2007;Gutierrez entre Helguera y Lozano y Nazarre entre Gutierres y Argerich;Villa del Parque;11;312;2008-08-25 00:00:00;Arquitectura;Entorno Plazoleta Williams;Finalizada recepción definitiva;CARAMIAN SA;;
ARQ;La obra tiene por objeto la intervención en 2 escaleras existentes y la ejecución de 1 escalera nueva, que forman parte del conjunto de escaleras de emergencia para evacuar los subsuelos del Teatro Colon;472857;2010;;;;312;;Arquitectura;Escaleras de Emergencia de Subsuelos del Teatro Colón;Con contrato firmado;Constructora Lanusse SA;;
ARQ;Se trata de un edificio de carácter patrimonial emblemático de 3 niveles ubicado en la esquina de Viamonte y Suipacha. Posee patios internos con grandes aventanamientos. Se realizará la restauración de las dos fachadas principales con el análisis y asesoría en Restauración del Arq. Guillermo Spagnuolo. Se ejecutarán revoques símil piedra, pinturas, restauración de carpinterías y reemplazo de vitraux existentes.;50624;2005;Viamonte y Suipacha;San Nicolas;1;312;2008-12-22 00:00:00;Arquitectura;Fachada Edificio Rentas ;TRASPASO Obra a Ministerio correspondiente ;PLANOBRA SA;Marzo 2010 - 6.JPG;Reconstrucción de Fachada
ARQ;La obra tiene como finalidad la puesta en valor de la calle Lavalle entre Florida y Carlos Pellegrini, dando continuidad a la peatonalización actual. La obra consistirá en la nivelación de veredas y calzadas, incorporando también equipamiento urbano como cestos y nueva iluminación.;34185;2008;calle Lavalle entre calles Florida, Maipú, Esmeralda, Suipacha y Carlos Pellegrini.  ;San Nicolas;1;312;2009-01-05 00:00:00;Arquitectura;Lavalle Peatonal ;Finalizada recepción definitiva;Paleco SA ;;
ARQ;El objetivo es ordenar y priorizar el transporte público a través de la construcción de Estaciones-Parador de Buses de Tránsito Rapido sobre la traza de la Av. Juan B. Justo, para en un futuro constituir un sistema integrado de transporte público troncal como red, distribuido por las principales arterias de la ciudad. ;149542;2010;Av. Gaona 4660;Floresta;10;312;2010-11-01 00:00:00;Arquitectura;Metro Bus - Avenida Juan B. Justo - Tramo I;Finalizada con recepción provisoria;RIVA SA;DSCF1580.JPG;Lope de Vega
ARQ;El centro de la plaza es una gran plataforma que acompaña peatonalmente la dirección natural de la calle Arata, con el mismo solado que utilizaremos para las veredas, aldosa granítica de 40 x 40cm de color gris claro. Las pérgolas de hierro galvanizado le dan sombra y cobijo, evitando además la posible apropiación del espacio por autos y motos Debajo de la pérgola diseñamos un sector central semicubierto que hará posible desde bailes, reuniones vecinales y patinaje. Del playón central salen, hacia ambos costados, sectores con mobiliario fijo para todas las edades. Para jóvenes y adultos se han ubicado tres mesas y doce sillas para almorzar, y cuatro mesas con las ocho sillas correspondientes para simultáneas de ajedrez. También hay un sector con dos mesas de ping pong de hormigón armado. En otro lugar se han ubicado tres sillones Pacú de hormigón armado, una mesa Roué, tres bancos lineales también de HA, una pequeña tribuna para observar el juego de ping pong, y dos bancos topográficos. Además se han ubicado ocho cestos de basura, dos bebederos Periscopio y dos canillas de riego. Para los niños, simplemente se han adaptado los juegos existentes con su perímetro de reja, manteniendo el acceso actual y agregando otro. Se incorporará también una zona de triciclos. Proponemos aumentar la iluminación reemplazando la existente con nuevas luminarias individuales y reflectores para los sectores que precisan luz especial - Pergolas, canchas de ping pong y juegos de niños. Los senderos curvos dibujados sobre el césped están formalizados en pavimento tipo bloque reticulado de hormigón, para que crezca pasto en su interior.;1272830;2012;;;;312;2013-02-11 00:00:00;Arquitectura;Oasis Magaldi Unamuno;Acta de Inicio;CUNUMÍ SA;;
ARQ;Atento al deterioro sufrido por el pavimento, el deterioro de las veredas por distintas causas, la dificultad de cruce peatonal en diferentes esquinas y falta de equipamiento, se decide intervenir el area para su revitalizacion y ordenamiento;33733;2008;OLLEROS  entre  Av. DEL LIBERTADOR y L. M. CAMPOS;Palermo;14;312;2008-12-15 00:00:00;Arquitectura;Olleros;Finalizada recepción definitiva;ALTOTE SA;DSC02899.JPG;boulevard
ARQ;puesta en valor de los espacios verdes, bicicenda, iluminacion.;2203127;2012;Deheza, Holmberg, Donado, Quesada;Saavedra;12;300;2013-09-02 00:00:00;Arquitectura;PARQUE LINEAL DONADO - HOLMBERG;En Ejecucion;Salvatori SA Parques y Jardines;PARQ LIN DIC.jpg;Dic-13
ARQ;PUESTA EN VALOR Y MEJORAMIENTO DEL ESPACIO PÚBLICO  TECNICAMENTE SE RENOVARÁN LOS SOLADOS EN VEREDAS SE MEJORARÁ LA ILUMINACIÓN  SE INCORPORARÁ EQUIPAMIENTO URBANO Y FORESTACIÓN;52785;2007;atacalco entre honduras y gorriti;palermo;14;2303;2008-08-11 00:00:00;Arquitectura;Pasaje Atacalco ;Finalizada recepción definitiva;ALTOTE SA;;
ARQ;Comprende tareas de remodelación del PASAJE CARABELAS incluyendo unificación de calzada y acera, reconstrucción cordones, incorporación de arbolado, equipamiento urbano y colocación de nuevas luminarias.  La localización del proyecto  abarca el pasaje Carabelas entre Diagonal R. Sáenz Peña y J. D. Perón, continuando con las obras ya realizadas en el Área Central.   El objetivo general es la puesta en valor del sector, el mejoramiento del espacio público.   Técnicamente consiste en la nivelación de aceras y calzadas para favorecer la peatonalización, utilizándose el granitullo como material que define visualmente el transito vehicular restringido y la baldosa granítica en las áreas exclusivamente peatonales.  Los usuarios a los que se dirige el presente emprendimiento son básicamente turistas y personas que desarrollan su actividad laboral y recreativa en el área, generándose para ellas un lugar de paseo, esparcimiento y descanso. ;87675;2008;Pasaje Carabelas entre Pte. Juan Domingo Perón y Diagonal Roque Sáenz Peña;San Nicolas;1;312;2008-04-28 00:00:00;Arquitectura;Pasaje Carabelas entre Pte. Juan Domingo Perón y Diagonal Roque Sáenz Peña;Finalizada recepción definitiva;ALTOTE SA;;
ARQ;La puesta en valor del Pasaje Zelaya esta incluida dentro de la idea de potenciar la imagen del barrio del Abasto, como recurso cultural, turístico, económico y social, y además  optimizar el paisaje urbano. El proyecto para la renovación del barrio de Abasto es una iniciativa conjunta entre el Gobierno de la Ciudad de Buenos Aires y los vecinos del barrio y con representantes de las distintas actividades que en el mismo se desarrollan. En el caso del Pasaje Zelaya su valorización significa restringir el tránsito para la realización de actividades culturales que desarrollan el Teatro El Cubo y el Centro Cultural Pata de Gallo. Instalación de farolas peatonales, modificación de pavimentos y veredas. Instalación de bancos, cestos papeleros, etc ;34138;2007;Pasaje Zelaya entre Jean Juares y Aguero;Balvanera;3;312;2009-01-01 00:00:00;Arquitectura;Pasaje Zelaya;Finalizada recepción definitiva;GRAPE Constructora SA;;
ARQ;La obra consiste en deprimir 17 cm de vereda y de calzada, para dejar descubierta la primera pedada original de la escalera de acceso al Cementerio de la Recoleta. Por otra parte, la obra busca readecuar el acceso al peristilo del Cementerio de la Recoleta, recuperando su diseño y características originales. Los materiales, el equipamiento y el mobiliario son los mismos que los que se encuentran actualmente en el área de intervención y se deberá respetar su ubicación actual. La obra se realizará en dos etapas con el fin de no interrumpir el acceso al Cementerio durante el transcurso de su ejecución.;1545520;2009;Junín entre Guido y Quintana;Recoleta;2;312;2010-06-17 00:00:00;Arquitectura;Peristilo Recoleta;Finalizada con recepción provisoria;Naku Construcciones SRL;P1010033.JPG;Nivelacion de veredas
ARQ;El área tiene características netas del centro de la Ciudad donde se alternan la actividad comercial y Puesta en valor del área, otorgando al conjunto el carácter de paseo público. La circulación vehicular se señala con un carril de 3, 50 mts separado del sector peatonal por bolardos. Unificación de calzadas con aceras, confiriendo a las calles el carácter de tránsito restringido con exclusivo acceso vehicular a no mas de 20km por hora. Se renueva el alumbrado público existente. ;1681507;2012;Perón entre Av. Roque Saenz Peña y L. N Alem ;San Nicolas ;1;312;2013-11-11 00:00:00;Arquitectura;Perón I;En Ejecucion;EQUIMAC SA;PERON 1 IDC 3.jpg;Dic-13
ARQ;Con la incorporación de la Playa de estacionamiento Subterráneo en la Plaza se busca mejorar las condiciones generales de los sectores donde se ubica la misma, con respecto al tema del estacionamiento y deberá mantener en lo posible la estructura paisajista actual de la plaza, en lo que se refiere a las áreas parquizadas, senderos peatonales y zonas de descanso. EI estacionamiento cubierto previsto ocupará parcialmente la superficie del área delimitado por la Avdas. Pueyrredón, Las Heras y las calles Cantilo y Pacheco de Melo (a verificar por el oferente) Deberá ser subterráneo quedando el numero de subsuelos a realizarse a consideración del oferente, con un mínimo de 400 plazas de estacionamiento.;21842;2007;Avda. Pueyrredón, Avda. Las Heras, Cantilo y Pacheco de Melo;Recoleta;2;312;2010-07-26 00:00:00;Arquitectura;Playa Emilio Mitre;Finalizada con recepción provisoria;CRIBA S A;cartel de obera.jpg;14 Julio 2010 - Cartel de Obra
ARQ;Ubicada en la manzana comprendida por las Avdas. Las Heras, Coronel Díaz y las calles Salguero y Juncal. El estacionamiento posee una capacidad total de 501 plazas, resevándose 11 plazas para discapacitados y 70 plazas para vehículos removidos de la vía pública por el Gobierno de la Ciudad. El proyecto subterráneo se plantea en un solo nivel. El esuqema circulatorio interior se rige con la premisa de no generar cruces e interferencias, lo cual se resuleve por medio de una sola dirección, logrando así un mejor funcionamiento. Los accesos y y salidas se realizan por la Av. Coronel Diaz y por la calle Salguero. Los accesos peatonales se realizarán a traés de dos ascensores, dos rampas contiguas a las tres calles de ingreso y egreso y 11 escaleras ubicadas de tal manera que cumplan con las reglamentaciones de incendio. A nivel de la PLaza se generará una calle peatonal que vincule Slaguero con Coroenel Diaz y a la cual confluyen los senderos actuales de la plaza, así como también los senderos actuales de la Plaza. Para dicha implantación se tuvo en cuenta la mantención de las áreas parquizadas, senderos peatonales y zonas de descanso existentes a fin de alterarlas lo mínimo e indispensable. ;43275;2006;Av. Las Heras y prolongaciones virtuales de las Calles Bulnes y Ruggeri;Palermo;14;312;;Arquitectura;Playa Las Heras;Paralizada;VIALCO SA;P7120110.JPG;13-07-2010 - Cartel de Obra
ARQ;Recuperación del predio para su funcionamiento como Plaza Pública. Construcción de canteros de altura variable, recuperar 5 naves de galpones que funcionarán como pérgolas de sombra, equipamiento mobiliario y lumínico. Los antiguos rieles de tranvias serán recuperados para su uso como soporte de panales para murales. Anfiteatro, área para eventos y exposiciones. ;1348273;2009;limitada por las calles Carlos Calvo, Sánchez de Loria, Estados Unidos y Virrey Liniers;Boedo;5;312;2010-05-12 00:00:00;Arquitectura;Plaza Boedo;Finalizada con recepción provisoria;Salvatori SA Parques y Jardines;SDC10922.JPG;Cartel de Obra - Calle Estados Unidos
ARQ;Este Proyecto esta incluido dentro del programa REDISEÑO URBANO VEHICULAR Y PEATONAL El área de intervención comprende la Plazoleta Elisa Brown y el sector de calle Ruy Díaz de Guzmán comprendido entre las calles Pi y Margall y Av. Martín García, en el barrio de La Barracas, a dos cuadras del Parque Lezama.Es la puesta en valor del sector, que incluye el existente Monumento a Elisa Brown, la optimización del espacio público y un desarrollo paisajístico-funcional que posibilite actividades de esparcimiento y la recreación. ;33670;2012;;;;312;2012-07-02 00:00:00;Arquitectura;Plaza Elisa Brown;En Ejecucion;Paleco SA ;plaza.JPG;vista
ARQ;Plaza vaticano, impermeabilización subsuelos;187890;2011;;;;312;;Arquitectura;PLAZA VATICANO Y ENTORNO DEL TEATRO COLON - ETAPA 1;Con contrato firmado;CRIBA S A;;
ARQ;La intervención propone en este proyecto la integración del sector mejorando las condiciones de todos sus elementos, generando dos sectores, uno más estático sobre la medianera y uno más de paso integrándose a la esquina. Se plantea también una intervención desde el paisajismo y forestación, optimizando cualitativamente la esquina. La renovación del mobiliario, iluminación y vegetación incentivan el uso del espacio, tanto de forma peatonal como de sector de descanso y contemplación.;1150500;2011;;;;312;2012-05-28 00:00:00;Arquitectura;Plazoleta José Luis Romero;En Ejecucion;Salvatori SA Parques y Jardines;fotomontaje 01-11-11.jpg;Render
ARQ;El proyecto incluye el rediseño y la refuncionalización del área, incorporando equipamiento y arbolado urbano con el objetivo de otorgar al área el carácter de un paseo público.;31889;2008;Mansilla y Ecuador;Recoleta;2;312;2008-11-10 00:00:00;Arquitectura;Plazoleta Pío Rodriguez;Finalizada recepción definitiva;Naku Construcciones SRL;;
ARQ;El proyecto incluye el rediseño y la refuncionalización del área, incorporando equipamiento, con el objetivo de otorgar al área el caracter de un espacio de descanso y reunión, respetando y organizando los usos detectados actualmente.;932924;2010;Av. Saenz y Raulet;Nueva Pompeya;4;300;2011-05-02 00:00:00;Arquitectura;Plazoleta Presbitero Saenz;Finalizada en mantenimiento;ALTOTE SA;15 julio 5.JPG;Colocacion edfan
ARQ;Consiste en el ensanche de las calles linderas a la Plazoleta Troncoso. Esta alteracion nos brinda la oportunidad de revertir el deterioro general, reparar y sustituir mobiliario, mejorar la iluminacion, renovar la vegetacion, retirar instalaciones en desuso y adecuarla a nuevas necesidades.  ;1960042;2011;Delimitado por las calles Fonrouge y M. Hicken, y los pasajes Krause y E. Hermite;Villa Lugano;8;300;2012-05-02 00:00:00;Arquitectura;Plazoleta Troncoso;En Ejecucion;Paleco SA ;;
ARQ;Se trata de 2 manzanas situadas en el barrio de Villa Soldati, entre las calles Valparaíso, Veracruz y Maracaibo, frente al gran conjunto habitacional homónimo, pero dentro de un tejido de construcciones de media y baja densidad, de 1 y 2 plantas de altura, con importante presencia de terrenos baldíos. La carencia de plazas en este barrio es notoria. Una de las 2 manzanas es de planta irregular con espacios públicos disponibles en 2 de sus esquinas, actualmente en desuso, y con sectores de amplias veredas sin solados, utilizados a menudo como improvisados depósitos de residuos domiciliarios. La otra manzana, de planta triangular y más pequeña, adyacente y separada de la anterior por una calle de escaso tránsito automotor, es pública en su totalidad y aunque hoy no posee equipamiento alguno exceptuando un poste de iluminación , es utilizada espontáneamente por los niños del barrio como campo de juegos. La presencia Premetro constituye un dato importante del sitio, es el principal medio de transporte público de la zona y la traza de sus vías pasa por las calles Valparaíso y Veracruz, con una parada en la intersección de las mismas. Los coches tienen una frecuencia alta, y producen situaciones de riesgo al pasar junto al espacio de juegos de los niños.;1022031;2012;;;;312;2013-01-28 00:00:00;Arquitectura;Plazoletas Valparaiso, Veracruz y Maracaibo;Acta de Inicio;CUNUMÍ SA;;
ARQ;El edificio se identifica como un bloque que está interrumpido por una pasante peatonal que permite pasar desde la calle al interior del conjunto . El frente d ela calles Galvan se completa con la escuela infantil, separadas por una calle que admite la continuidad virtual de la calle y evita la sensación de muralla, incorporando de esta manera las vistas del transeúnte y el recorrido por el interior de la plaza del complejo.  El partido arquitectónico adoptado responde al tradicional de patio claustro, en este caso rectangular, en torno del cual se desarollan los programas de necesidades de cada una de las escuelas, quedando claramente diferenciadas las áreas de usos compartidos, restringidos y de servicion. ;207.554;2012;;;;312;2013-06-24 00:00:00;Arquitectura;POLO EDUCATIVO SAAVEDRA-ESCUELA ESPECIAL N 1;Acta de Inicio;CRIBA SA;;
ARQ;Puesta en valor del sector, mejoramiento del espacio publico. Nivelación de aceras y calzadas para favorecer la peatonalización;24957;2008;calles Vicente López Pacheco de Melo Libertador General San Martín Presidente Quintana Presidente R.M.Ortiz Azcuénaga y Eduardo Victor Haedo;Recoleta;2;312;2008-12-15 00:00:00;Arquitectura;Recoleta;Finalizada recepción definitiva;CUNUMÍ SA;;
ARQ;Incluido dentro del programa AREA CENTRAL del Plan Urbano Ambiental, hoy denominado Prioridad Peatón.   Corresponde a la Segunda Etapa de intervención que comprende la calle Reconquista desde la Av. Córdoba hasta la Av. Corrientes. El área tiene características netas del centro de la Ciudad donde se alternan los usos de oficinas, actividad bancaria, hoteles, edificios de administración público y baja presencia residencial.  ;24973;2008;Reconquista entre Av. Córdoba y Av. Corrientes;San Nicolás;1;312;2008-11-03 00:00:00;Arquitectura;Reconquista Tramo II - entre Av. Córdoba y Av. Corrientes ;Finalizada recepción definitiva;Paleco SA ;;
ARQ;Calle Reconquista entre Avda Corrientes y Avda Rivadaria Puesta en valor del sector mejoramiento del espacio publico Nivelacion de aceras y calzadas utilizanzándose la baldosa granítica como material preponderante creándose una calle de transito vehicular restringido lo que permite favorecer la peatonalizacion de la misma;24941;2008;Reconquista entre Rivadaria y Corrientes ;Monserrat;1;312;2008-12-30 00:00:00;Arquitectura;Reconquista Tramo III;Finalizada recepción definitiva;Salvatori SA Parques y Jardines;;
ARQ;En función de los objetivos de puesta en valor del sector y mejoramiento  del espacio público técnicamente consiste en la nivelación de aceras y calzadas reconstrucción de cordones incorporación de arbolado equipamiento urbano y nuevas luminarias El material preponderante será la baldosa granítica que permitirá crear una calle de tránsito vehicular restringido para favorecer la peatonalización de la misma ;3880;2008;Calle Reconquista entre Cordoba y Ricardo Rojas;Monserrat;1;312;2008-07-28 00:00:00;Arquitectura;Reconquista Tramo l;Finalizada recepción definitiva;Salvatori SA Parques y Jardines;;
ARQ;La presente obra tiene por objeto la reparación de las cubiertas del Deposito de Sastrería del Teatro San Martin de la calle Gregoria Pérez 3637, del Barrio de Chacarita (CABA) NRO ORDEN DE COMPRA A CONFIRMAR.  OBRA EN PROCESO DE ADJUDICACION. ;437027;2013;Gregoria Perez 3637;Chacarita;15;312;2013-07-10 00:00:00;Arquitectura;Reparacion Cubierta Deposito Gregoria Perez;Acta de Inicio;DYMA SA;Foto 2.bmp;Foto 2
ARQ;Esta obra se inscribe dentro de un plan general de rehabilitación del conjunto edilicio del TGSM. Comprende la renovación integral de las cubiertas y la restauración y-o renovación de toda su envolvente vertical, fachadas interiores y medianeras, a excepción de las carpinterías.;2222619-2012;2012;Av. Corrientes 1530;San Nicolas;1;312;2013-03-12 00:00:00;Arquitectura;Reparación Integral de cubiertas y revestimientos exteriores. TGSM;Acta de Inicio;Conorvial SA;TGSM -1.jpg;TGSM
ARQ;Puesta en valor del sector y de su espacio público revertir el deterioro y degradación portenciar el proceso de recuperación y mejoramiento de las condiciones ambientales El proyecto produce los cambios necesarios para incorporar esta vía a la ley de accesibilidad atenua el impacto que el tránsito vehicular produce en la circulación de su actor más recurrente que es el peatón ;24950;2008;Rivadavia e Hipolito Yrigoyen entre CPelegrini y Bolivar;Monserrat;1;312;2008-10-22 00:00:00;Arquitectura;Rivadavia e Hipolito Yrigoyen Etapa I;Finalizada recepción definitiva;CUNUMÍ SA;;
ARQ;Puesta en valor del sector y de su espacio público revertir el deterioro y degradación potenciar el proceso de recuperación y mejoramiento de las condiciones ambientales El proyecto produce los cambios necesarios para incorporar esta vía a la ley de accesibilidad atenúa el impacto que el tránsito vehicular produce en la circulación del peatón Cambios de materiales y de dimensiones para cumplir condiciones de accesibilidad para todos. Incorporación de cestos y bolardos;30832;2008;Rivadavia e Hipolito Yrigoyen entre Lima y LSaenz Peña;Montserrat;1;312;2008-12-12 00:00:00;Arquitectura;Rivadavia e Hipolito Yrigoyen Etapa II ;Finalizada recepción definitiva;ALTOTE SA;;
ARQ;Esta Obra se inscribe dentro de un plan general de puesta en valor del conjunto edilicio del Teatro San Martín, ubicado en la Av. Corrientes 1530. Este Teatro forma un todo edilicio conjuntamente con el Centro Cultural San Martín, con acceso desde calle Sarmiento. Desde esta calle se realizará el ingreso de materiales y personal para la obra objeto de esta Licitación. La contratación incluye la ejecución de todos los trabajos que, aunque no se detallen, sean necesarios para el fin propuesto, cumpliendo en lo técnico con las reglas del arte de la construcción y en lo reglamentario con las disposiciones vigentes. La Contratista deberá presentar el Cronograma de trabajos en los cuales se vea reflejada esta organización, y coordinará junto con la Inspección de Obra las fechas de finalización de cado uno de los sectores. La obra incluye construcción de un nuevo volumen, el cual se ejecutará con obra seca, para albergar dos nuevas salas de ensayo para el Ballet Contemporáneo del Teatro San Martin.;2407521;2013;Corrientes 1500;San Nicolas ;1;312;2013-11-18 00:00:00;Arquitectura;Sala de Ensayos del Teatro San Martín;En Ejecucion;Conorvial SA;;
ARQ;Ejecución de 40 unidades habitacionales. Espacio Público, veredas, calles de convivencia, parque lineal con forestación y equipamiento.;472885;2010;Virrey del Pino y Donado;Villla Ortuzar;15;308;2010-12-17 00:00:00;Arquitectura;Soluciones Habitacionales Barrio Parque Donado Holmberg;En Ejecucion;EMACO SA;DonadoPMPvrcam03HW.jpg;Perspectiva
ARQ;40 unidades habitacionales;925239;2010;;;;308;2012-01-04 00:00:00;Arquitectura;Soluciones habitacionales Barrio Parque Donado Holmberg II;En Ejecucion;EMACO SA;;
ARQ;La Obra consiste en desarrollar un proyecto integral, cuyo diseño debera prever la ejecucion de 40 unidades habitacionales de 2 y 3 ambientes.  ;122433;2011;;;;312;2012-09-20 00:00:00;Arquitectura;Soluciones Habitacionales Barrio Parque Donado Holmberg III Seccion 51 Manzana 103 Parcela 1G;Acta de Inicio;WAYRO INGENIERIA SA ;Exterior Cam1.jpg;Donado 3 Frente
ARQ;El objetivo general es la puesta en valor del sector, la optimización del espacio público y un desarrollo paisajístico-funcional que posibilite actividades de esparcimiento y recreación. Incorporar un medio de transporte ecológico, no contaminante y sustentable, como es la bicicleta. Se materializan a nuevo las veredas. La calle mantendrá su perfil de calzada actual, la ciclovía se pintará sobre el asfalto existente. Tendrá 2 metros de ancho y será de doble mano en toda su extensión. En el espacio sobrante de la calzada actual, se incorporará equipamiento, iluminación y árboles de pequeño porte. Se demarcarán en piso cruces de esquinas, sendas peatonales, accesos a garaje, estacionamiento turístico y toda la demarcación correspondiente en carriles de ciclovías.;1418833;2009;Suipacha desde Av. Sta Fé hasta Rivadavia y calle Tacuarí desde Rivadavia hasta Av. de Mayo;San Nicolas y Retiro;1;312;2010-07-27 00:00:00;Arquitectura;Suipacha - Etapa 1;Finalizada recepción definitiva;CUNUMÍ SA;chica228.JPG;Suipacha entre B.Mitre y Av. Rivadavia
ARQCU;Adecuacíon de una sector del Parque para la realización de eventos culturales masivos. Ejecución de cerco de seguridad y portones para evacuación de emergencia. Infraestructura eléctrica para los eventos, alumbrado público general y perimetral e instalaciones sanitarias y pluviales. Puesta en valor de equipamento existente y plantación de 500 árboles y arbustos.;1304107;2012;;;;2303;2013-03-06 00:00:00;Arquitectura Cultura;BUENOS AIRES ROCK;Acta de Inicio;TEXIMCO SA DAL CONSTRUCCIONES SA UTE;;
ARQCU;Restauración y puesta en valor de la ex-usina de la CIAE. Construcción de una sala de conciertos para música sinfónica para 1250 personas, una Sala de Música de Cámara para 350 espectadores, una Sala de exposiciones (Salón Dorado) e instalaciones complementarias (camarines, oficinas administrativas, sanitarios, confitería, boletería, etc). Las tareas incluyen demolición de estructuras de hormigón armado existentes. Remoción total de cubiertas metálicas, retiro, refuerzo y reubicación de cerchas metálicas existentes, para recibir una nueva cubierta en ambas naves, asegurando la insonorización del edificio. Ejecución de todas las estructuras de sostén metálicas y en hormigón armado en sala de ensayos, sala de cámara y sala sinfónica, escaleras y construcciones complementarias, pasarelas, bandejas laterales y circulaciones verticales. Realización de tareas de albañilería y de detalle, y terminaciones y revestimientos interiores de tres salas destinadas a la ejecución musical, incluyendo acondicionamiento acústico, ejecución del maderamen de plateas, provisión y colocación de butacas y realización de revestimientos acústicos de madera en cielorrasos, antepechos de palcos y plateas.;75742;2004;Av.Pedro de Mendoza 539,531entre Benito Pérez Galdós y A.Caffarena;La Boca;4;524;2007-07-04 00:00:00;Arquitectura Cultura;Ciudad de la Música ;En ejecucion sin certificacion mensual;CAPUTO SAICyF;DSC06523.JPG;Salon dorado - Maqueta capital federal
